0.873,0.0858,3.13,0.25,1.549085,,,,,,
0.9631,0.1817,3.73,0.39,2.101145,,,,,,
0.668,0.1052,2.99,0.34,1.127012,,,,,,
0.46,0.0799,3.68,0.26,1.634289,,,,,,
0.466,0.0876,3.03,0.35,1.606687,,,,,,
0.5455,0.097,3.49,0.24,1.310862,,,,,,
0.656,0.1009,3.54,0.45,1.124684,,,,,,
0.4099,0.0938,4.17,0.33,1.943081,,,,,,
0.4356,0.0646,3.28,0.15,1.764145,,,,,,
0.3721,0.0875,3.18,0.26,2.263175,,,,,,
0.8248,0.1372,3.33,0.19,1.399698,,,,,,
1.0151,0.1294,3.36,0.32,2.692279,,,,,,
0.4052,0.0805,3.87,0.22,1.980615,,,,,,
0.7209,0.0456,3.33,0.15,1.019497,,,,,,
0.136,0.0837,3.23,0.26,6.940287,,,,,,
0.925,0.0697,3.07,0.18,1.938201,,,,,,
0.3151,0.1123,2.7,0.76,2.828469,,,,,,
0.197,0.0721,3.45,0.23,5.33777,,,,,,
0.7469,0.1926,2.72,0.3,1.379857,,,,,,
0.6899,0.0842,3.29,0.3,1.080435,,,,,,
0.6009,0.1361,3.37,0.41,1.250428,,,,,,
0.703,0.0966,3.54,0.34,1.107397,,,,,,
0.809,0.0907,3.24,0.32,1.270871,,,,,,
0.742,0.0993,2.62,0.29,1.142663,,,,,,
0.2229,0.0758,2.96,0.42,4.698653,,,,,,
0.32,0.1203,3.03,0.62,2.739437,,,,,,
0.28,0.0636,4.21,0.36,3.646476,,,,,,
-0.0201,0.007,5.03,0.11,11.849252,,,,,,
0.3981,0.0876,3.52,0.51,2.034523,,,,,,
0.4511,0.0475,4.57,0.29,1.664337,,,,,,
0.4581,0.07,3.61,0.37,1.640219,,,,,,
0.5901,0.1089,3.23,0.07,1.220299,,,,,,
0.2771,0.0711,3.26,0.31,3.64353,,,,,,
0.771,0.1447,3.38,0.49,1.289298,,,,,,
0.826,0.0972,2.86,0.21,1.338464,,,,,,
0.6109,0.0525,3.39,0.14,1.127417,,,,,,
0.4479,0.0458,3.44,0.1,1.679493,,,,,,
0.5041,0.0438,3.53,0.14,1.437176,,,,,,
0.5705,0.0649,3.47,0.12,1.226539,,,,,,
0.57,0.0356,2.92,0.09,1.224349,,,,,,
0.455,0.0491,3.53,0.15,1.64524,,,,,,
0.491,0.0894,3.52,0.38,1.494549,,,,,,
0.3789,0.0673,3.35,0.41,2.213971,,,,,,
0.7441,0.0334,3.37,0.09,1.028602,,,,,,
0.906,0.0619,2.99,0.11,1.789018,,,,,,
0.7621,0.1361,3.01,0.49,1.254409,,,,,,
0.494,0.0864,2.65,0.05,1.481461,,,,,,
0.9091,0.0565,2.77,0.08,1.820816,,,,,,
1.1242,0.1604,3.32,0.37,4.107021,,,,,,
0.808,0.1135,3.18,0.3,1.306152,,,,,,
0.851,0.191,2.83,0.45,1.585655,,,,,,
0.6681,0.1118,2.98,0.27,1.140427,,,,,,
0.448,0.0743,2.73,0.25,1.696374,,,,,,
0.9889,0.1761,2.68,0.33,2.295476,,,,,,
0.6239,0.1807,3.31,0.66,1.329569,,,,,,
0.3709,0.0724,2.93,0.39,2.290865,,,,,,
0.254,0.0465,2.54,0.2,4.286094,,,,,,
0.38,0.0422,2.74,0.13,2.208443,,,,,,
0.4352,0.1072,3.71,0.41,1.776649,,,,,,
0.875,0.1501,3.16,0.5,1.604345,,,,,,
0.7161,0.0964,4.21,0.35,1.112848,,,,,,
0.633,0.0551,3.42,0.17,1.087007,,,,,,
0.9779,0.1445,3.08,0.28,2.259667,,,,,,
0.8482,0.0809,3.29,0.21,1.416406,,,,,,
1.1021,0.1384,2.79,0.25,3.933122,,,,,,
0.7311,0.0418,3.32,0.11,1.022475,,,,,,
1.0889,0.1138,2.61,0.24,3.93662,,,,,,
0.936,0.0632,2.57,0.11,2.051027,,,,,,
0.595,0.0628,3.14,0.16,1.166218,,,,,,
0.7491,0.0474,3.08,0.11,1.055305,,,,,,
0.6551,0.0674,2.75,0.17,1.070613,,,,,,
0.822,0.1006,2.78,0.26,1.329195,,,,,,
0.6729,0.0412,2.71,0.1,1.020706,,,,,,
0.963,0.1897,2.84,0.5,2.09862,,,,,,
0.4261,0.1111,4.21,0.66,1.831366,,,,,,
0.6,0.0507,2.77,0.15,1.150686,,,,,,
0.6721,0.0702,2.6,0.19,1.061037,,,,,,
1.0139,0.1928,2.14,0.28,2.473863,,,,,,
1.2561,0.3044,2.68,0.66,4.806634,,,,,,
0.7951,0.0483,2.98,0.12,1.17267,,,,,,
0.7619,0.1142,2.62,0.36,1.204104,,,,,,
0.8851,0.2067,3.17,0.69,1.73049,,,,,,
0.7591,0.1629,3.04,0.36,1.316095,,,,,,
0.8981,0.1146,3.37,0.24,1.699152,,,,,,
0.605,0.0595,3.13,0.14,1.142886,,,,,,
0.975,0.0539,2.58,0.09,2.503406,,,,,,
0.5321,0.0531,3.09,0.19,1.338304,,,,,,
0.4631,0.0603,2.9,0.19,1.610704,,,,,,
0.5918,0.0889,3.38,0.42,1.192223,,,,,,
0.7721,0.0711,2.82,0.16,1.138324,,,,,,
0.6798,0.0623,4.42,0.26,1.044344,,,,,,
0.954,0.1393,2.77,0.35,2.070086,,,,,,
0.4691,0.065,3.37,0.21,1.583885,,,,,,
0.6611,0.1076,2.78,0.34,1.134811,,,,,,
0.727,0.1241,2.82,0.38,1.183526,,,,,,
1.733,0.3429,2.42,0.29,25.836893,,,,,,
0.9261,0.1322,3.39,0.32,1.874388,,,,,,
0.9161,0.1586,2.02,0.26,1.813356,,,,,,
1.0039,0.0944,3.37,0.2,2.723028,,,,,,
0.5291,0.038,3.14,0.12,1.348731,,,,,,
0.5448,0.0379,3.01,0.11,1.297393,,,,,,
0.613,0.0406,3.03,0.11,1.119579,,,,,,
0.5401,0.0356,2.8,0.09,1.311867,,,,,,
0.7251,0.0594,2.79,0.15,1.045685,,,,,,
0.577,0.0519,2.95,0.14,1.20698,,,,,,
0.66,0.1342,3.1,0.45,1.193155,,,,,,
0.4351,0.1286,2.87,0.63,1.777849,,,,,,
0.5821,0.1122,2.71,0.49,1.240335,,,,,,
0.924,0.1974,2.69,0.44,1.88278,,,,,,
0.864,0.0929,3.15,0.3,1.5023,,,,,,
0.607,0.0661,3.29,0.2,1.142737,,,,,,
0.666,0.0997,3.03,0.42,1.116772,,,,,,
0.528,0.0944,3.42,0.51,1.361595,,,,,,
1.1201,0.2066,2.78,0.26,3.602774,,,,,,
0.6811,0.0738,3.1,0.19,1.062872,,,,,,
0.6401,0.0351,2.85,0.1,1.062627,,,,,,
0.82,0.0405,3.07,0.07,1.266138,,,,,,
0.7981,0.0361,2.78,0.08,1.174945,,,,,,
0.743,0.0442,2.89,0.1,1.041092,,,,,,
0.8381,0.0256,2.88,0.08,1.352487,,,,,,
1.1541,0.2044,3.05,0.41,4.162159,,,,,,
0.584,0.0623,3.16,0.11,1.191778,,,,,,
0.7811,0.1005,3.17,0.18,1.21241,,,,,,
0.715,0.1093,3.07,0.26,1.140549,,,,,,
0.4479,0.1271,2.61,0.39,1.709435,,,,,,
1.0099,0.0889,2.86,0.14,2.829996,,,,,,
0.6611,0.0531,2.92,0.15,1.046287,,,,,,
0.632,0.0781,2.76,0.15,1.112185,,,,,,
0.7315,0.0784,2.79,0.21,1.087411,,,,,,
0.625,0.0766,2.37,0.19,1.120533,,,,,,
0.4599,0.0782,3.02,0.23,1.633985,,,,,,
0.6541,0.0531,3.18,0.17,1.054344,,,,,,
0.906,0.0603,2.86,0.12,1.7914,,,,,,
0.6861,0.0634,3.14,0.2,1.043631,,,,,,
0.697,0.0472,3.19,0.14,1.015635,,,,,,
0.6919,0.0711,2.9,0.32,1.055642,,,,,,
0.8859,0.1565,2.36,0.22,1.660269,,,,,,
0.573,0.066,2.66,0.24,1.220393,,,,,,
0.5809,0.0694,2.94,0.22,1.201874,,,,,,
0.7641,0.0721,2.93,0.14,1.123211,,,,,,
0.6431,0.058,3.24,0.14,1.07403,,,,,,
0.5929,0.0729,3.24,0.19,1.176496,,,,,,
0.7141,0.0544,3.24,0.14,1.030014,,,,,,
0.61,0.0549,2.97,0.12,1.130217,,,,,,
0.372,0.0518,3.55,0.13,2.295774,,,,,,
0.413,0.0339,2.85,0.11,1.882818,,,,,,
0.2321,0.0712,2.78,0.35,4.540217,,,,,,
0.746,0.048,3.18,0.14,1.051259,,,,,,
-0.0552,0.0166,5.02,0.26,17.777363,,,,,,
0.7931,0.0821,3.02,0.21,1.20948,,,,,,
0.216,0.055,3.79,0.7,5.03686,,,,,,
0.3762,0.0622,4.12,0.4,2.244526,,,,,,
0.4708,0.1119,3.94,0.63,1.592414,,,,,,
0.9006,0.2039,4.12,0.46,1.786286,,,,,,
0.47,0.1981,2.41,0.94,1.682962,,,,,,
0.4812,0.0616,3.26,0.2,1.528317,,,,,,
0.4271,0.1242,3.61,0.79,1.823765,,,,,,
0.5861,0.083,3.18,0.25,1.198802,,,,,,
0.6581,0.0715,3.19,0.21,1.073452,,,,,,
0.46,0.0745,3.04,0.25,1.63256,,,,,,
0.4869,0.0454,3.22,0.19,1.503267,,,,,,
0.5511,0.0553,3.35,0.21,1.279339,,,,,,
0.3731,0.1032,2.68,0.53,2.233979,,,,,,
0.712,0.0664,3.19,0.25,1.050243,,,,,,
